"","rndNum","courseNum","rndPos","rndScr","relParScr","cumParScr","playerName","year","name"
"1","Round 1","014","T33","74","2","+2","08793",2005,"TIGER WOODS"
"2","Round 2","014","3","66","-6","-4","08793",2005,"TIGER WOODS"
"3","Round 3","014","1","65","-7","-11","08793",2005,"TIGER WOODS"
"4","Round 4","014","1","71","-1","-12","08793",2005,"TIGER WOODS"
"5","Round 1","014","1","67","-5","-5","06251",2005,"CHRIS DIMARC"
"6","Round 2","014","1","67","-5","-10","06251",2005,"CHRIS DIMARC"
"7","Round 3","014","2","74","2","-8","06251",2005,"CHRIS DIMARC"
"8","Round 4","014","2","68","-4","-12","06251",2005,"CHRIS DIMARC"
"9","Round 1","014","T2","68","-4","-4","23983",2005,"LUKE DONALD"
"10","Round 2","014","T18","77","5","+1","23983",2005,"LUKE DONALD"
"11","Round 3","014","T10","69","-3","-2","23983",2005,"LUKE DONALD"
"12","Round 4","014","T3","69","-3","-5","23983",2005,"LUKE DONALD"
"13","Round 1","014","T8","71","-1","-1","20157",2005,"RETIEF GOOSEN"
"14","Round 2","014","T23","75","3","+2","20157",2005,"RETIEF GOOSEN"
"15","Round 3","014","T16","70","-2","E","20157",2005,"RETIEF GOOSEN"
"16","Round 4","014","T3","67","-5","-5","20157",2005,"RETIEF GOOSEN"
"17","Round 1","014","T4","69","-3","-3","20433",2005,"MARK HENSBY"
"18","Round 2","014","T6","73","1","-2","20433",2005,"MARK HENSBY"
"19","Round 3","014","T6","70","-2","-4","20433",2005,"MARK HENSBY"
"20","Round 4","014","T5","72","E","-4","20433",2005,"MARK HENSBY"
"21","Round 1","014","T27","73","1","+1","22378",2005,"TREVOR IMMELM"
"22","Round 2","014","T23","73","1","+2","22378",2005,"TREVOR IMMELM"
"23","Round 3","014","T4","65","-7","-5","22378",2005,"TREVOR IMMELM"
"24","Round 4","014","T5","73","1","-4","22378",2005,"TREVOR IMMELM"
"25","Round 1","014","T27","73","1","+1","20572",2005,"ROD PAMPLI"
"26","Round 2","014","T11","71","-1","E","20572",2005,"ROD PAMPLI"
"27","Round 3","014","T10","70","-2","-2","20572",2005,"ROD PAMPLI"
"28","Round 4","014","T5","70","-2","-4","20572",2005,"ROD PAMPLI"
"29","Round 1","014","T2","68","-4","-4","06567",2005,"VIJAY SINGH"
"30","Round 2","014","T4","73","1","-3","06567",2005,"VIJAY SINGH"
"31","Round 3","014","T6","71","-1","-4","06567",2005,"VIJAY SINGH"
"32","Round 4","014","T5","72","E","-4","06567",2005,"VIJAY SINGH"
"33","Round 1","014","T33","74","2","+2","10423",2005,"MIKE WEIR"
"34","Round 2","014","T18","71","-1","+1","10423",2005,"MIKE WEIR"
"35","Round 3","014","T8","68","-4","-3","10423",2005,"MIKE WEIR"
"36","Round 4","014","T5","71","-1","-4","10423",2005,"MIKE WEIR"
"37","Round 1","014","T6","70","-2","-2","01810",2005,"PHIL MICKEL"
"38","Round 2","014","T6","72","E","-2","01810",2005,"PHIL MICKEL"
"39","Round 3","014","T4","69","-3","-5","01810",2005,"PHIL MICKEL"
"40","Round 4","014","10","74","2","-3","01810",2005,"PHIL MICKEL"
"41","Round 1","014","T52","76","4","+4","12782",2005,"TIM HERRON"
