rndNum,courseNum,rndPos,rndScr,relParScr,cumParScr,playerName,year,name,name2,cost
Round 1,625,1,62,-8,-8,1388,2005,ROBERT GAMEZ,Robert Gamez,#N/A
Round 2,625,T4,68,-2,-10,1388,2005,ROBERT GAMEZ,Robert Gamez,#N/A
Round 3,625,T2,68,-2,-12,1388,2005,ROBERT GAMEZ,Robert Gamez,#N/A
Round 4,625,1,64,-6,-18,1388,2005,ROBERT GAMEZ,Robert Gamez,#N/A
Round 1,625,T9,65,-5,-5,1139,2005,OLIN BROWNE,Olin Browne,#N/A
Round 2,625,T4,65,-5,-10,1139,2005,OLIN BROWNE,Olin Browne,#N/A
Round 3,625,T9,71,1,-9,1139,2005,OLIN BROWNE,Olin Browne,#N/A
Round 4,625,2,64,-6,-15,1139,2005,OLIN BROWNE,Olin Browne,#N/A
Round 1,625,T2,63,-7,-7,7867,2005,WOODY AUSTIN,Woody Austin,2800
Round 2,625,T4,67,-3,-10,7867,2005,WOODY AUSTIN,Woody Austin,2800
Round 3,625,1,67,-3,-13,7867,2005,WOODY AUSTIN,Woody Austin,2800
Round 4,625,T3,69,-1,-14,7867,2005,WOODY AUSTIN,Woody Austin,2800
Round 1,625,T9,65,-5,-5,21878,2005,MARK WILSON,Mark Wilson,3700
Round 2,625,8,67,-3,-8,21878,2005,MARK WILSON,Mark Wilson,3700
Round 3,625,T2,66,-4,-12,21878,2005,MARK WILSON,Mark Wilson,3700
Round 4,625,T3,68,-2,-14,21878,2005,MARK WILSON,Mark Wilson,3700
Round 1,625,T9,65,-5,-5,10117,2005,BOB HEINTZ,Bob Heintz,#N/A
Round 2,625,T4,65,-5,-10,10117,2005,BOB HEINTZ,Bob Heintz,#N/A
Round 3,625,T5,69,-1,-11,10117,2005,BOB HEINTZ,Bob Heintz,#N/A
Round 4,625,T5,68,-2,-13,10117,2005,BOB HEINTZ,Bob Heintz,#N/A
Round 1,625,T20,66,-4,-4,23353,2005,J.J. HENRY,J.J. Henry,4800
Round 2,625,T9,67,-3,-7,23353,2005,J.J. HENRY,J.J. Henry,4800
Round 3,625,T5,66,-4,-11,23353,2005,J.J. HENRY,J.J. Henry,4800
Round 4,625,T5,68,-2,-13,23353,2005,J.J. HENRY,J.J. Henry,4800
Round 1,625,T20,66,-4,-4,12602,2005,DEAN WILSON,Dean Wilson,#N/A
Round 2,625,1,62,-8,-12,12602,2005,DEAN WILSON,Dean Wilson,#N/A
Round 3,625,T2,70,E,-12,12602,2005,DEAN WILSON,Dean Wilson,#N/A
Round 4,625,7,70,E,-12,12602,2005,DEAN WILSON,Dean Wilson,#N/A
Round 1,625,T30,67,-3,-3,1261,2005,JAY DELSIN,Jay Delsing,#N/A
Round 2,625,T39,71,1,-2,1261,2005,JAY DELSIN,Jay Delsing,#N/A
Round 3,625,T30,68,-2,-4,1261,2005,JAY DELSIN,Jay Delsing,#N/A
Round 4,625,T8,63,-7,-11,1261,2005,JAY DELSIN,Jay Delsing,#N/A
Round 1,625,T9,65,-5,-5,21805,2005,HARRIS FRAZAR,Harrison Frazar,#N/A
Round 2,625,T13,69,-1,-6,21805,2005,HARRIS FRAZAR,Harrison Frazar,#N/A
Round 3,625,T13,69,-1,-7,21805,2005,HARRIS FRAZAR,Harrison Frazar,#N/A
Round 4,625,T8,66,-4,-11,21805,2005,HARRIS FRAZAR,Harrison Frazar,#N/A
Round 1,625,T53,69,-1,-1,1707,2005,STEVE LOWERY,Steve Lowery,#N/A
Round 2,625,T19,66,-4,-5,1707,2005,STEVE LOWERY,Steve Lowery,#N/A
Round 3,625,T9,66,-4,-9,1707,2005,STEVE LOWERY,Steve Lowery,#N/A
Round 4,625,T8,68,-2,-11,1707,2005,STEVE LOWERY,Steve Lowery,#N/A
Round 1,625,T2,63,-7,-7,1724,2005,JEFF MAGGER,Jeff Maggert,#N/A
Round 2,625,T2,66,-4,-11,1724,2005,JEFF MAGGER,Jeff Maggert,#N/A
Round 3,625,T5,70,E,-11,1724,2005,JEFF MAGGER,Jeff Maggert,#N/A
Round 4,625,T8,70,E,-11,1724,2005,JEFF MAGGER,Jeff Maggert,#N/A
Round 1,625,T2,63,-7,-7,20645,2005,JOHN SENDEN,John Senden,7600
