"","ID","names"
"1","10219"," "
"2","01001","Tommy Aaron"
"3","25526","Juan Abbate"
"4","10085","Bryan Abbott"
"5","27856","Frank Abbott"
"6","34361","Jamie Abbott"
"7","25760","Matt Abbott"
"8","28633","Scott Abbott"
"9","21898","Kent Abegglen"
"10","20033","Kirk Abegglen"
"11","30685","Derek Abel"
"12","11402","Mark Abeli"
"13","25961","William Abell"
"14","20200","John Aber"
"15","20701","Warren Abery"
"16","24428","Jack Abney"
"17","07129","Luke Abney"
"18","31446","Matthew Abotts"
"19","20462","Dale Abraham"
"20","24259","J.J. Abraham"
"21","11686","Roy Abrameit"
"22","32497","Tim Acaster"
"23","11914","John Accola"
"24","25725","Jamie Acevedo"
"25","29445","Sergio Acevedo"
"26","01002","Rodney Acia"
"27","05001","Darrell Acker"
"28","01003","Bob Ackerman"
"29","22631","Danny Ackerman"
"30","20178","Craig Ackermann"
"31","39517","Agustin Acosta"
"32","24567","Carlos Perez Acosta"
"33","01004","Ernesto Perez Acosta"
"34","25503","Gustavo Acosta"
"35","31647","Mario Acosta"
"36","20051","Joe Acosta, Jr."
"37","11249","Rick Acton"
"38","31573","Pablo Acuna"
"39","34400","Carlo Acutis"
"40","23778","Brad Adamonis"
"41","01005","Adam Adams"
"42","29910","Blake Adams"
"43","10017","Bob Adams"
"44","05003","Buck Adams"
"45","24152","Clinton Adams"
"46","35489","Corbin Adams"
"47","25015","Cory Adams"
"48","20175","Jimmy Adams"
"49","01006","John Adams"
"50","21650","John Adams"
"51","29877","Mitch Adams"
"52","20214","Reg Adams"
"53","01007","Sam Adams"
"54","22622","Slade Adams"
"55","28178","Frank Adams III"
"56","29864","Michael Adamson"
"57","06142","Mitch Adcock"
"58","06182","Tony Adcock"
"59","06196","Mark Adduci"
"60","24611","Jose Aderbal"
"61","01008","Richie Adham"
"62","12080","Phil Adkins"
"63","05004","Dean Adkisson"
"64","32172","Alfredo Adrian"
"65","11250","Mark Aebli"
"66","35573","Bob Affelder"
"67","39468","Brian Affleck"
"68","20607","Paul Affleck"
"69","27796","Joe Affrunti"
"70","46565","Brian Agee"
"71","01009","Robert Agee"
"72","33996","Giovany Agudelo"
"73","23783","Felipe Aguilar"
"74","12540","Tony Aguilar"
"75","12891","Jim Ahern"
"76","29334","Jaco Ahlers"
"77","08379","Mark Ahmann"
"78","36887","Eric Ahn"
"79","29985","Antti Ahokas"
"80","10627","Spencer Ahrend"
"81","45180","Mark Ahrens"
"82","10265","Mike Ahrnsbrak"
"83","24461","Thomas Aiken"
"84","24842","Tim Ailes"
"85","26311","Richard Ainley"
"86","01010","Sam Ainslie"
"87","45642","Neal Ajubita"
"88","12081","Dale Akridge"
"89","25278","Dean Alaban"
"90","01011","Rafael Alarcon"
"91","32311","Barney Alary"
"92","32956","Raul Albarracin"
"93","11867","Ange Alberico"
"94","05005","Augie Alberico"
"95","08447","Bill Albers"
"96","08685","Jeff Albiston"
"97","10919","Keith Albritton"
"98","01012","Jim Albus"
"99","32957","Ariel Alcaraz"
"100","33497","Jeremy Alcorn"
"101","11868","Dennis Alden"
"102","11579","Phil Aldridge"
"103","29745","Tyler Aldridge"
"104","37168","Juan Alean"
"105","31148","Enrique Alessandrini"
"106","11949","Alex Alexander"
"107","12646","Biff Alexander"
"108","10101","Brian Alexander"
"109","01013","Buddy Alexander"
"110","21406","Carl Alexander"
"111","07613","Dean Alexander"
"112","21540","Denny Alexander"
"113","19800","Douglas Alexander"
"114","08967","Keith Alexander"
"115","07333","Lee Alexander"
"116","27676","Lonny Alexander"
"117","22856","Paul Alexander"
"118","05006","Reese Alexander"
"119","27370","Rod Alexander"
"120","10513","Steve Alexander"
"121","27857","Stewart Alexander"
"122","33408","Tyson Alexander"
"123","12082","George Alexander,Jr."
"124","24734","Lionel Alexandre"
"125","26484","Joseph Alfieri"
"126","22888","Lawrence Alioto"
"127","20771","Steven Alker"
"128","12775","Robin All"
"129","12409","Scott Allacher"
"130","05007","David Allaire"
"131","11471","Don Allan"
"132","21633","Steve Allan"
"133","32440","Jake Allanach II"
"134","36845","Jack Allara II"
"135","06513","Ken Allard"
"136","01014","Fulton Allem"
"137","12741","Whitney Allemand"
"138","08035","Bill Allen"
"139","12373","Charles Allen"
"140","25094","Chris Allen"
"141","06002","David Allen"
"142","23220","Don Allen"
"143","12923","Donald Allen"
"144","26630","George Allen"
"145","23324","Jason Allen"
"146","19773","Jesse Allen"
"147","05008","John Allen"
"148","01015","Johnny Allen"
"149","12083","Mark Allen"
"150","39893","Maurice Allen"
"151","06197","Michael Allen"
"152","35574","Mike Allen"
"153","27927","Nathan Allen"
"154","01016","Ras Allen"
"155","21411","Richard Allen"
"156","08991","Rob Allen"
"157","36854","Ron Allen"
"158","27335","Tony Allen"
"159","33155","James Allenby"
"160","10885","Robert Allenby"
"161","33826","Juan Aller"
"162","01017","Bud Allin"
"163","08901","Joe Allinder"
"164","46731","Ryan Allison"
"165","07945","Dick Allred"
"166","23540","Jason Allred"
"167","11869","Jim Allred"
"168","06993","James Almand"
"169","22362","Jeff Alpert"
"170","27269","Dan Alpha"
"171","32441","Scott Alred"
"172","31580","Daniel Altamirano"
"173","12385","Kevin Altenhof"
"174","01018","Stanton Altgelt"
"175","32380","Joachim Altonen"
"176","31289","Benjamin Alvarado"
"177","36636","Mauricio Alvarado"
"178","22924","Benny Alvarez"
"179","11403","Dave Alvarez"
"180","46201","Facundo Alvarez"
"181","37432","Isander Alvarez"
"182","37254","Juan Alvarez"
"183","27765","Oscar Alvarez"
"184","30098","Max Alveiro"
"185","30828","Adan Alverez"
"186","30829","Luis Alverez"
"187","31587","Max Alverio"
"188","37386","Jose Alzamora"
"189","29652","John Aman"
"190","01020","Masaru Amano"
"191","24845","Colin Amaral"
"192","06198","Tony Amaral"
"193","20492","Jesus Amaya"
"194","26108","John Ambridge"
"195","32958","Gabriel Ambrosini"
"196","21325","Jeff Amershadian"
"197","21112","Richard Ames"
"198","25257","Robert Ames"
"199","06004","Stephen Ames"
"200","25743","Zack Amole"
"201","36851","Jake Amos"
"202","31166","William Amundsen"
"203","33948","Byeong-Hun An"
"204","26337","Jae An"
"205","12691","Phil Anamizu"
"206","46508","Brian Anania"
"207","45526","Abraham Ancer"
