,name,avg(CompleteData.rndScr),count(CompleteData.rndScr),Cost,,,50000
1,MICHAE THOMPS,69.5,4,#N/A,,,
2,JOHNSO WAGNER,69.75,4,#N/A,,,
3,JOHN SENDEN,69.75,8,5900,,,
4,ANDERS HANSEN,69.75,8,#N/A,,,
5,CHARLE HOWELL,69.875,8,#N/A,,,
6,ROBERT ALLENBY,70.25,4,#N/A,,,
7,GREG CHALMERS,70.25,4,5300,,,
8,MARTIN LAIRD,70.25,8,#N/A,,,
9,AARON BADDELLY,70.375,8,#N/A,,,
10,PETER HANSON,70.41666667,12,#N/A,,,
11,BUBBA WATSON,70.45,20,12400,,,
12,ROBERT ROCK,70.5,4,#N/A,,,
13,JONATH BYRD,70.5,8,#N/A,,,
14,NICOLA COLSAE,70.625,8,#N/A,,,
15,GARTH MULROY,70.75,4,#N/A,,,
16,SCOTT JAMIES,70.75,4,#N/A,,,
17,ROBERT KARLSS,70.875,8,#N/A,,,
18,DUSTIN JOHNSON,70.875,24,11300,,,
19,DAVID TOMS,71,2,#N/A,,,
20,CHARLE HOFFMAN,71,4,#N/A,,,
21,SCOTT PIERCY,71,4,#N/A,,,
22,JUVIC PAGUNS,71,4,#N/A,,,
23,CHEZ REAVIE,71,4,#N/A,,,
24,PADRAI HARRIN,71,8,#N/A,,,
25,BO VAN PE,71,12,#N/A,,,
26,PATRIC REED,71,12,#N/A,,,
27,TIGER WOODS,71.08695652,23,#N/A,,,
28,ADAM SCOTT,71.20833333,24,11000,,,11000
29,CHARL SCHWARTZEL,71.20833333,24,6800,,,
30,DARREN CLARKE,71.25,4,#N/A,,,
31,RORY SABBAT,71.25,4,#N/A,,,
32,JOHN HUH,71.25,4,#N/A,,,
33,PAUL CASEY,71.25,8,7900,,,
34,NICK WATNEY,71.28571429,21,#N/A,,,
35,RORY MCILROY,71.29166667,24,15300,,,
36,GRAEME MCDOWELL,71.33333333,24,7800,,,7800
37,MATT KUCHAR,71.375,24,8700,,,
38,JASON DAY,71.41666667,12,10900,,,
39,RICHAR STERNE,71.4375,16,#N/A,,,
40,HUNTER MAHAN,71.45833333,24,6600,,,
41,JHONAT VEGAS,71.5,4,#N/A,,,
42,RETIEF GOOSEN,71.5,8,#N/A,,,
43,K.J. CHOI,71.5,8,#N/A,,,
44,FRANCESCO MOLINARI,71.58333333,24,#N/A,,,
45,JASON DUFNER,71.6,20,7000,,,
46,JUSTIN ROSE,71.70833333,24,9000,,,9000
47,LUKE DONALD,71.70833333,24,7400,,,7400
48,BRIAN GAY,71.75,4,#N/A,,,
49,HENNIE OTTO,71.75,4,#N/A,,,
50,THOMAS AIKEN,71.75,4,5600,,,
51,KEVIN NA,71.75,4,6300,,,
52,CAMILO VILLEGAS,71.75,4,#N/A,,,
53,BILL HAAS,71.875,24,7300,,,
54,PHIL MICKELSON,71.95833333,24,9000,,,
55,DAVID LYNN,72,4,#N/A,,,
56,MARCEL SIEM,72,4,5900,,,5900
57,BEN CRANE,72,4,#N/A,,,
58,EDOARD MOLINA,72,4,#N/A,,,
59,KYLE STANLE,72,4,#N/A,,,
60,FREDDIE JACOBSON,72,8,#N/A,,,
61,ZACH JOHNSON,72.08333333,24,6800,,,
62,MARK WILSON,72.125,8,#N/A,,,
63,JAMIE DONALDSON,72.125,16,7100,,,
64,LEE WESTWOOD,72.125,24,7100,,,
65,SERGIO GARCIA,72.15,20,8900,,,8900
66,CHRIS WOOD,72.25,4,#N/A,,,
67,RYO ISHIKAWA,72.25,4,#N/A,,,
68,VIJAY SINGH,72.25,8,#N/A,,,
69,MARCUS FRASER,72.25,12,#N/A,,,
70,THONGCHAI JAIDEE,72.25,12,5900,,,
71,STEVE STRICKER,72.33333333,24,#N/A,,,
72,Y.E. YANG,72.375,8,#N/A,,,
73,ALEXAN NOREN,72.375,8,#N/A,,,
74,K.T. KIM,72.375,8,#N/A,,,
75,STEPHE GALLACHER,72.4375,16,#N/A,,,
76,GARY WOODLAND,72.4375,16,6300,,,
77,RICKIE FOWLER,72.45833333,24,8900,,,
78,JBE' KRUGER,72.5,4,#N/A,,,
79,GEOFF OGILVY,72.5,12,5600,,,
80,KEVIN STREELMAN,72.5,16,#N/A,,,
81,KEEGAN BRADLEY,72.5,20,7900,,,
82,MIGUEL JIMENEZ,72.55,20,#N/A,,,
83,RYAN MOORE,72.7,20,6400,,,
84,RYAN PALMER,72.75,4,7000,,,
85,S.S.P. CHOWRA,72.75,4,#N/A,,,
86,CARL PETTER,72.75,4,#N/A,,,
87,JOOST LUITEN,72.75,12,5700,,,
88,THOMAS BJORN,72.75,20,5700,,,
89,LOUIS OOSTHUIZEN,72.75,24,6400,,,
90,THAWOR WIRATC,73,4,#N/A,,,
91,YUTA IKEDA,73,4,#N/A,,,
92,THORBJ OLESEN,73,4,#N/A,,,
93,HENRIK STENSON,73,12,9500,,,
94,SCOTT HEND,73,12,#N/A,,,
95,JONAS BLIXT,73,12,#N/A,,,
96,HARRIS ENGLISH,73,12,#N/A,,,
