"","name","plrNum","year","rounds","average score"
"1","MARTIN LAIRD","27936",2013,4,68.5
"2","RORY MCILRO","28237",2013,4,69
"3","BILLY HORSCH","29420",2013,4,69.25
"4","CHARLE HOFFMA","12716",2013,4,69.25
"5","JIM FURYK","10809",2013,4,69.25
"6","BEN CURTIS","22621",2012,4,69.75
"7","K.J. CHOI","24357",2013,4,69.75
"8","BOB ESTES","01320",2013,4,70
"9","DANIEL SUMMER","25834",2013,4,70
"10","JEFF OVERTO","28475",2013,4,70
"11","STEVEN BOWDIT","25274",2014,4,70
"12","DANIEL SUMMER","25834",2014,4,70.25
"13","JOHN HUH","34174",2012,4,70.25
"14","MARCEL SIEM","23481",2013,4,70.25
"15","MARTIN FLORES","28500",2013,4,70.25
"16","MATT EVERY","28307",2012,4,70.25
"17","PADRAI HARRIN","20766",2013,4,70.25
"18","WILL MACKEN","24912",2014,4,70.25
"19","ANDREW LOUPE","35300",2014,4,70.5
"20","MATT KUCHAR","23108",2014,4,70.5
"21","RICHAR LEE","35139",2013,4,70.5
"22","BOB ESTES","01320",2012,4,70.75
"23","BRENDA STEELE","29518",2012,4,70.75
"24","BRENDO TODD","30927",2014,4,70.75
"25","BRIAN GAY","19846",2012,4,70.75
"26","CHARLI WI","20160",2012,4,70.75
"27","DAVID LYNN","21099",2013,4,70.75
"28","JERRY KELLY","08075",2014,4,70.75
"29","JIM FURYK","10809",2014,4,70.75
"30","ZACH JOHNSO","24024",2014,4,70.75
"31","AARON BADDEL","22371",2013,4,71
"32","CAMERO TRINGA","33419",2012,4,71
"33","D.J. TRAHAN","23788",2013,4,71
"34","ERIK COMPTO","24494",2014,1,71
"35","FREDDI JACOBS","21731",2013,4,71
"36","HUNTER HAAS","24604",2012,4,71
"37","JASON KOKRAK","30944",2013,4,71
"38","JORDAN SPIETH","34046",2014,4,71
"39","KEVIN CHAPPE","32366",2013,4,71
"40","RYAN MOORE","26596",2012,4,71
"41","RYAN PALMER","23320",2013,4,71
"42","SHANE LOWRY","33204",2013,4,71
"43","BRENDO DE JON","23638",2013,4,71.25
"44","BRIAN HARMAN","27644",2013,4,71.25
"45","BRYCE MOLDER","23800",2013,4,71.25
"46","CHARL SCHWAR","26331",2013,4,71.25
"47","CHARLE HOFFMA","12716",2014,4,71.25
"48","CHRIS DIMARC","06251",2013,4,71.25
"49","DAVID HEARN","26758",2012,4,71.25
"50","GEOFF OGILVY","22046",2014,4,71.25
"51","KEVIN NA","25396",2014,4,71.25
"52","KRIS BLANKS","28087",2012,4,71.25
"53","MATT KUCHAR","23108",2013,4,71.25
"54","PAT PEREZ","24361",2014,4,71.25
"55","PETER HANSON","22792",2013,4,71.25
"56","BRIAN DAVIS","21753",2013,4,71.5
"57","CHARLE HOFFMA","12716",2012,4,71.5
"58","FRANK LICKLI","11032",2012,4,71.5
"59","JOHN MALLIN","27060",2013,4,71.5
"60","JUSTIN HICKS","25444",2014,4,71.5
"61","KEVIN STREEL","27214",2012,4,71.5
"62","MATT KUCHAR","23108",2012,4,71.5
"63","SEUNG- NOH","29289",2012,4,71.5
"64","BEN CURTIS","22621",2013,4,71.75
"65","BRIAN HARMAN","27644",2012,4,71.75
"66","BRIAN HARMAN","27644",2014,4,71.75
"67","BUD CAULEY","34021",2012,4,71.75
"68","BUD CAULEY","34021",2013,4,71.75
"69","CARL PETTER","25345",2014,4,71.75
"70","DAVID MATHIS","22961",2012,4,71.75
"71","FREDDI JACOBS","21731",2012,4,71.75
"72","FREDDI JACOBS","21731",2014,4,71.75
"73","JAMES HAHN","32448",2014,4,71.75
"74","JERRY KELLY","08075",2012,4,71.75
"75","JIMMY WALKER","25632",2013,4,71.75
"76","JIMMY WALKER","25632",2014,4,71.75
"77","KEN DUKE","20104",2013,4,71.75
"78","MARTIN FLORES","28500",2014,4,71.75
"79","MICHAE THOMPS","32150",2014,4,71.75
"80","NATHAN GREEN","23718",2013,4,71.75
"81","SCOTT PIERCY","25818",2012,4,71.75
"82","SEUNG- NOH","29289",2014,4,71.75
"83","STEPHE AMES","06004",2014,4,71.75
"84","TODD BAEK","31627",2013,4,71.75
"85","WES ROACH","35732",2014,4,71.75
"86","ANDREW SVOBOD","29425",2014,4,72
"87","BEN KOHLES","36884",2013,4,72
"88","BO VAN PE","23623",2014,4,72
"89","BRAD FRITSC","29740",2013,4,72
"90","CAMERO PERCY","22056",2013,4,72
"91","CHAD COLLIN","25720",2014,4,72
"92","CHRIS STROUD","27963",2012,4,72
"93","GREG CHALME","20593",2013,4,72
"94","IAN POULTE","24138",2013,4,72
"95","JOE DURANT","06621",2013,4,72
"96","JOHN MERRIC","27933",2012,1,72
"97","JOHNSO WAGNER","26951",2014,4,72
"98","JUSTIN LEONAR","10860",2013,4,72
"99","KEVIN CHAPPE","32366",2012,1,72
"100","MARTIN FLORES","28500",2012,4,72
"101","MIGUEL CARBAL","28093",2012,4,72
"102","NATHAN GREEN","23718",2012,4,72
"103","RUSSEL KNOX","33122",2014,4,72
"104","STEVE LEBRUN","27503",2013,4,72
"105","TIM HERRON","12782",2012,4,72
"106","WILLIA MCGIRT","31202",2013,4,72
"107","BILL LUNDE","23548",2012,4,72.25
"108","BLAKE ADAMS","29910",2012,4,72.25
"109","BRENDA STEELE","29518",2013,4,72.25
"110","BRICE GARNET","29535",2014,4,72.25
"111","DANIEL SUMMER","25834",2012,4,72.25
"112","JASON KOKRAK","30944",2014,4,72.25
"113","JEFF GOVE","20105",2013,4,72.25
"114","JOE OGILVI","21949",2013,4,72.25
"115","JUSTIN LEONAR","10860",2014,4,72.25
"116","LUKE LIST","27129",2013,4,72.25
"117","MATT BETTEN","20070",2013,4,72.25
"118","SEUNG- NOH","29289",2013,4,72.25
"119","STUART APPLEB","20098",2013,4,72.25
"120","TREVOR IMMELM","22378",2014,4,72.25
"121","WILLIA MCGIRT","31202",2014,4,72.25
"122","JASON GORE","22892",2013,3,72.3333333333333
"123","BILLY HURLEY","29222",2012,4,72.5
"124","BRENDO DE JON","23638",2014,4,72.5
"125","BROOKS KOEPKA","36689",2014,4,72.5
"126","CAMERO BECKMA","12652",2014,4,72.5
"127","D.A. POINTS","25240",2013,4,72.5
"128","HENRIK NORLAN","30163",2013,4,72.5
"129","JAMIE LOVEMA","29461",2014,4,72.5
"130","JOHN MERRIC","27933",2013,4,72.5
"131","JOSH TEATER","27330",2014,4,72.5
"132","MATT JONES","26300",2012,4,72.5
"133","NEAL LANCAS","06332",2013,4,72.5
"134","NICK THOMPS","28780",2013,4,72.5
"135","RETIEF GOOSEN","20157",2013,4,72.5
"136","RYAN PALMER","23320",2012,4,72.5
"137","SCOTT BROWN","29479",2014,4,72.5
"138","SCOTT STALLI","30692",2013,4,72.5
"139","TROY MATTES","27120",2013,4,72.5
"140","ALISTA PRESNE","25336",2013,4,72.75
"141","ANDRES ROMERO","25562",2013,4,72.75
"142","BRENDO TODD","30927",2013,4,72.75
"143","BRIAN GAY","19846",2013,4,72.75
"144","CHARLI BELJAN","32334",2013,4,72.75
"145","DEREK LAMELY","27797",2012,4,72.75
"146","GREG CHALME","20593",2012,4,72.75
"147","HARRIS ENGLIS","34099",2013,4,72.75
"148","JOE OGILVI","21949",2014,4,72.75
"149","JOHN SENDEN","20645",2014,4,72.75
"150","JUSTIN LEONAR","10860",2012,4,72.75
"151","KEVIN FOLEY","35840",2014,4,72.75
"152","LEE JANZEN","01577",2013,4,72.75
"153","MICHAE PUTNAM","28486",2014,4,72.75
"154","PATRIC REED","34360",2012,4,72.75
"155","PETER TOMASU","28118",2013,4,72.75
"156","SPENCE LEVIN","27466",2012,4,72.75
"157","TOM GILLIS","08725",2012,4,72.75
"158","AARON WATKIN","28135",2013,2,73
"159","ANDRES ROMERO","25562",2014,4,73
"160","BEN CURTIS","22621",2014,4,73
"161","BRIAN DAVIS","21753",2014,4,73
"162","BRINY BAIRD","20498",2014,4,73
"163","BRONSO LA'CAS","26956",2014,4,73
"164","CAMERO TRINGA","33419",2013,2,73
"165","CAMERO TRINGA","33419",2014,4,73
"166","CHAD CAMPBE","12510",2013,2,73
"167","CHEZ REAVIE","26476",2013,2,73
"168","CHRIS STROUD","27963",2013,2,73
"169","DONALD CONSTA","37450",2013,2,73
"170","J.J. HENRY","23353",2012,4,73
"171","JOHN DALY","01249",2013,2,73
"172","JOHN MALLIN","27060",2014,4,73
"173","JORDAN SPIETH","34046",2012,4,73
"174","MICHAE LETZIG","26695",2013,2,73
"175","MIGUEL CARBAL","28093",2014,4,73
"176","NICK O'HERN","22348",2013,2,73
"177","ROBERT DAMRON","19881",2012,4,73
"178","ROBERT KARLSS","19970",2013,2,73
"179","ROD PAMPLI","20572",2013,2,73
"180","RUSSEL KNOX","33122",2012,4,73
"181","RUSSEL KNOX","33122",2013,4,73
"182","SKIP KENDAL","01619",2012,4,73
"183","STEVEN BOWDIT","25274",2013,4,73
"184","TIM HERRON","12782",2013,2,73
"185","TOMMY GAINEY","30750",2014,1,73
"186","TROY MATTES","27120",2014,4,73
"187","TROY MERRIT","32640",2014,4,73
"188","WILL CLAXTO","28455",2013,2,73
"189","WILL MACKEN","24912",2012,4,73
"190","BRIAN GAY","19846",2014,4,73.25
"191","CHESSO HADLEY","34563",2014,4,73.25
"192","GREG CHALME","20593",2014,4,73.25
"193","J.J. KILLEE","31558",2012,4,73.25
"194","JEFF MAGGER","01724",2014,4,73.25
"195","KEVIN KISNER","29478",2012,4,73.25
"196","MIKE WEIR","10423",2014,4,73.25
"197","PAUL STANKO","08375",2012,4,73.25
"198","RYAN PALMER","23320",2014,4,73.25
